nohup: ignoring input
Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
2025-07-31 13:25:25,142 INFO: Base output directory set to: models/ensembles/depth2_1
2025-07-31 13:25:25,142 INFO: Training ensemble model 1/4 (seed=4051475862)...
Layers for branch: [11, 10, 10, 10]
Layers for trunk: [2, 10, 10, 10]
Compiling model...
'compile' took 0.790599 s

Training model...

Step      Train loss    Test loss     Test metric   
0         [2.68e-01]    [3.16e-01]    [9.97e-01]    
1000      [8.82e-04]    [1.10e-03]    [9.79e-02]    
2000      [5.15e-04]    [6.72e-04]    [8.04e-02]    
3000      [3.84e-04]    [4.87e-04]    [6.94e-02]    
4000      [3.32e-04]    [4.02e-04]    [6.42e-02]    
5000      [2.66e-04]    [3.11e-04]    [5.71e-02]    
6000      [1.14e-04]    [1.36e-04]    [3.82e-02]    
7000      [6.91e-05]    [9.08e-05]    [2.98e-02]    
8000      [6.03e-05]    [8.17e-05]    [2.75e-02]    
9000      [5.51e-05]    [7.58e-05]    [2.60e-02]    
10000     [5.13e-05]    [7.03e-05]    [2.49e-02]    
11000     [4.79e-05]    [6.63e-05]    [2.42e-02]    
12000     [4.36e-05]    [5.81e-05]    [2.31e-02]    
13000     [3.86e-05]    [5.19e-05]    [2.19e-02]    
14000     [3.30e-05]    [4.51e-05]    [2.05e-02]    
15000     [2.79e-05]    [3.90e-05]    [1.91e-02]    
16000     [2.37e-05]    [3.57e-05]    [1.79e-02]    
17000     [2.07e-05]    [3.16e-05]    [1.67e-02]    
