nohup: ignoring input
Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
2025-07-31 13:28:54,671 INFO: Base output directory set to: models/ensembles/width10_1
2025-07-31 13:28:54,672 INFO: Training ensemble model 1/4 (seed=715432330)...
Layers for branch: [11, 10, 10]
Layers for trunk: [2, 10, 10]
Compiling model...
'compile' took 0.873545 s

Training model...

Step      Train loss    Test loss     Test metric   
0         [2.67e-01]    [3.24e-01]    [1.02e+00]    
1000      [6.18e-03]    [4.25e-03]    [2.53e-01]    
2000      [6.63e-04]    [6.49e-04]    [8.24e-02]    
3000      [3.74e-04]    [4.14e-04]    [6.63e-02]    
4000      [3.05e-04]    [3.44e-04]    [6.15e-02]    
5000      [2.17e-04]    [2.39e-04]    [5.25e-02]    
6000      [1.32e-04]    [1.27e-04]    [4.21e-02]    
7000      [8.42e-05]    [8.00e-05]    [3.32e-02]    
8000      [6.91e-05]    [6.55e-05]    [2.98e-02]    
9000      [6.06e-05]    [5.80e-05]    [2.74e-02]    
10000     [5.15e-05]    [5.11e-05]    [2.57e-02]    
11000     [3.87e-05]    [3.91e-05]    [2.11e-02]    
12000     [2.64e-05]    [2.74e-05]    [1.69e-02]    
