# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.895699739456176758e-01 3.637280166149139404e-01 1.258448719978332520e+00
1.000000000000000000e+03 8.793683955445885658e-04 9.239281644113361835e-04 9.917879849672317505e-02
2.000000000000000000e+03 4.364231426734477282e-04 5.128434277139604092e-04 7.395094633102416992e-02
3.000000000000000000e+03 2.767115947790443897e-04 3.205391694791615009e-04 5.935467407107353210e-02
4.000000000000000000e+03 1.502626109868288040e-04 1.791440445231273770e-04 4.396501556038856506e-02
5.000000000000000000e+03 7.570339948870241642e-05 8.937676466302946210e-05 3.095365315675735474e-02
6.000000000000000000e+03 6.135654257377609611e-05 6.763193232472985983e-05 2.791648544371128082e-02
7.000000000000000000e+03 6.840886635472998023e-05 7.112730236258357763e-05 3.401436656713485718e-02
8.000000000000000000e+03 4.843356146011501551e-05 5.222792606218717992e-05 2.456132695078849792e-02
9.000000000000000000e+03 4.348293077782727778e-05 4.798898225999437273e-05 2.307643182575702667e-02
1.000000000000000000e+04 3.844071034109219909e-05 4.396863732836209238e-05 2.156374976038932800e-02
1.100000000000000000e+04 3.163419751217588782e-05 3.876138725900091231e-05 1.954266987740993500e-02
1.200000000000000000e+04 2.353505806240718812e-05 3.267225838499143720e-05 1.679085567593574524e-02
1.300000000000000000e+04 1.779356716724578291e-05 2.810916339512914419e-05 1.516755484044551849e-02
1.400000000000000000e+04 1.732124292175285518e-05 2.761255382210947573e-05 1.671045459806919098e-02
1.500000000000000000e+04 1.299565155932214111e-05 2.423757723590824753e-05 1.249516941606998444e-02
1.600000000000000000e+04 1.187182351714000106e-05 2.338180638616904616e-05 1.216148864477872849e-02
1.700000000000000000e+04 1.115000031859381124e-05 2.279315594932995737e-05 1.191787142306566238e-02
1.800000000000000000e+04 1.060562863131053746e-05 2.280199805682059377e-05 1.168664451688528061e-02
1.900000000000000000e+04 1.018664170260308310e-05 2.259911889268551022e-05 1.151167787611484528e-02
2.000000000000000000e+04 9.859296369540970773e-06 2.235084502899553627e-05 1.136050559580326080e-02
2.100000000000000000e+04 9.574642717780079693e-06 2.205148666689638048e-05 1.122068986296653748e-02
2.200000000000000000e+04 1.264390812139026821e-05 2.305096131749451160e-05 1.519440673291683197e-02
2.300000000000000000e+04 9.126018994720652699e-06 2.137300180038437247e-05 1.096948143094778061e-02
2.400000000000000000e+04 8.934327524912077934e-06 2.099057746818289161e-05 1.085820049047470093e-02
2.500000000000000000e+04 1.247152067662682384e-05 2.547886651882436126e-05 1.490828953683376312e-02
2.600000000000000000e+04 8.614260877948254347e-06 2.017202677961904556e-05 1.066211983561515808e-02
2.700000000000000000e+04 8.477476512780413032e-06 1.982227877306286246e-05 1.055891718715429306e-02
2.800000000000000000e+04 8.348999472218565643e-06 1.948924546013586223e-05 1.046890020370483398e-02
2.900000000000000000e+04 8.232884283643215895e-06 1.910870741994585842e-05 1.040591578930616379e-02
3.000000000000000000e+04 8.115011951304040849e-06 1.887114558485336602e-05 1.029434707015752792e-02
