# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.784010767936706543e-01 3.059338927268981934e-01 1.118819355964660645e+00
1.000000000000000000e+03 2.294578123837709427e-03 1.752134645357728004e-03 1.470735818147659302e-01
2.000000000000000000e+03 6.907344795763492584e-04 7.303900201804935932e-04 8.583191782236099243e-02
3.000000000000000000e+03 5.202813772484660149e-04 5.082922871224582195e-04 7.314338535070419312e-02
4.000000000000000000e+03 3.601636854000389576e-04 3.457330458331853151e-04 6.088672578334808350e-02
5.000000000000000000e+03 1.784444029908627272e-04 1.688812189968302846e-04 4.331340640783309937e-02
6.000000000000000000e+03 9.359244722872972488e-05 7.566644489997997880e-05 3.235998004674911499e-02
7.000000000000000000e+03 6.743137782905250788e-05 5.218126534600742161e-05 2.938154712319374084e-02
8.000000000000000000e+03 4.954327596351504326e-05 3.857124465866945684e-05 2.438777126371860504e-02
9.000000000000000000e+03 3.831584399449639022e-05 3.114239370916038752e-05 2.150788716971874237e-02
1.000000000000000000e+04 2.935318116215057671e-05 2.496109664207324386e-05 1.885883882641792297e-02
1.100000000000000000e+04 2.305524503753986210e-05 2.077842327707912773e-05 1.684833504259586334e-02
1.200000000000000000e+04 1.866829188656993210e-05 1.759185943228658289e-05 1.475455518811941147e-02
1.300000000000000000e+04 1.674917257332708687e-05 1.629106554901227355e-05 1.426733005791902542e-02
1.400000000000000000e+04 1.368462380924029276e-05 1.386691656080074608e-05 1.227757893502712250e-02
1.500000000000000000e+04 1.215128577314317226e-05 1.258065276488196105e-05 1.154498476535081863e-02
1.600000000000000000e+04 1.654303559917025268e-05 1.726019036141224205e-05 1.664181053638458252e-02
1.700000000000000000e+04 9.977317859011236578e-06 1.060471913660876453e-05 1.056136563420295715e-02
1.800000000000000000e+04 9.192203833663370460e-06 9.841745850280858576e-06 1.017518714070320129e-02
1.900000000000000000e+04 8.617601451987866312e-06 9.271915587305556983e-06 9.934055618941783905e-03
2.000000000000000000e+04 8.166381121554877609e-06 8.785571480984799564e-06 9.683803655207157135e-03
2.100000000000000000e+04 8.545857781427912414e-06 9.048521860677283257e-06 1.068667788058519363e-02
2.200000000000000000e+04 1.343759868177585304e-05 1.373254963255021721e-05 1.603615283966064453e-02
2.300000000000000000e+04 7.415529125864850357e-06 7.826702130842022598e-06 9.333334863185882568e-03
2.400000000000000000e+04 7.249085683724842966e-06 7.568447472294792533e-06 9.241012856364250183e-03
2.500000000000000000e+04 7.224146429507527500e-06 7.498823833884671330e-06 9.443347342312335968e-03
2.600000000000000000e+04 7.097226443875115365e-06 7.271625236171530560e-06 9.362190030515193939e-03
2.700000000000000000e+04 7.757666026009246707e-06 7.664699296583421528e-06 1.048557180911302567e-02
2.800000000000000000e+04 6.738367119396571070e-06 6.735080660291714594e-06 8.937728591263294220e-03
2.900000000000000000e+04 6.631844826188171282e-06 6.553620096383383498e-06 8.862690068781375885e-03
3.000000000000000000e+04 6.535474312840960920e-06 6.389085228875046596e-06 8.800650015473365784e-03
