# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.060334920883178711e-01 2.935479283332824707e-01 1.007626295089721680e+00
1.000000000000000000e+03 1.888431841507554054e-03 2.025797963142395020e-03 1.659419983625411987e-01
2.000000000000000000e+03 4.389212699607014656e-04 4.713281523436307907e-04 8.350972086191177368e-02
3.000000000000000000e+03 9.686177509138360620e-05 9.804779983824118972e-05 4.208147525787353516e-02
4.000000000000000000e+03 6.302075053099542856e-05 6.216573819983750582e-05 3.425631672143936157e-02
5.000000000000000000e+03 5.149270145921036601e-05 5.115849489811807871e-05 3.106122277677059174e-02
6.000000000000000000e+03 4.142812758800573647e-05 4.117499338462948799e-05 2.787205018103122711e-02
7.000000000000000000e+03 3.127691888948902488e-05 3.073917832807637751e-05 2.417029626667499542e-02
8.000000000000000000e+03 2.536888132453896105e-05 2.456410948070697486e-05 2.199512161314487457e-02
9.000000000000000000e+03 2.283512549183797091e-05 2.213858897448517382e-05 2.143105119466781616e-02
1.000000000000000000e+04 1.659265763009898365e-05 1.617583438928704709e-05 1.759994402527809143e-02
