# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.393389344215393066e-01 2.137882858514785767e-01 9.975553154945373535e-01
1.000000000000000000e+03 1.615571090951561928e-03 1.815554802305996418e-03 1.497115492820739746e-01
2.000000000000000000e+03 7.183980778791010380e-04 8.514591609127819538e-04 9.976779669523239136e-02
3.000000000000000000e+03 3.826423780992627144e-04 4.521527152974158525e-04 7.023640722036361694e-02
4.000000000000000000e+03 2.062527055386453867e-04 2.432035253150388598e-04 5.085652694106101990e-02
5.000000000000000000e+03 1.496098702773451805e-04 1.741703308653086424e-04 4.406647756695747375e-02
6.000000000000000000e+03 1.219109180965460837e-04 1.403375063091516495e-04 4.025020077824592590e-02
7.000000000000000000e+03 9.768184099812060595e-05 1.116740677389316261e-04 3.619344905018806458e-02
8.000000000000000000e+03 6.494728586403653026e-05 7.497430488001555204e-05 2.957847155630588531e-02
9.000000000000000000e+03 3.565846782294102013e-05 4.231854109093546867e-05 2.188638597726821899e-02
1.000000000000000000e+04 2.477960151736624539e-05 2.907318412326276302e-05 1.881010457873344421e-02
1.100000000000000000e+04 1.978744148800615221e-05 2.336743455089163035e-05 1.665697991847991943e-02
1.200000000000000000e+04 1.966187483048997819e-05 2.267493982799351215e-05 1.757400110363960266e-02
1.300000000000000000e+04 1.683594200585503131e-05 1.983314177778083831e-05 1.550705544650554657e-02
1.400000000000000000e+04 1.593212982697878033e-05 1.875399721029680222e-05 1.479770150035619736e-02
1.500000000000000000e+04 2.308160583197604865e-05 2.508392208255827427e-05 2.058561332523822784e-02
1.600000000000000000e+04 1.569298729009460658e-05 1.815055111364927143e-05 1.510417740792036057e-02
1.700000000000000000e+04 1.474349937780061737e-05 1.720636282698251307e-05 1.413059141486883163e-02
1.800000000000000000e+04 1.443780001864070073e-05 1.683859045442659408e-05 1.392071694135665894e-02
1.900000000000000000e+04 1.416323084413306788e-05 1.652423452469520271e-05 1.376692764461040497e-02
2.000000000000000000e+04 1.390322086081141606e-05 1.623622119950596243e-05 1.363266725093126297e-02
2.100000000000000000e+04 1.381822767143603414e-05 1.617726229596883059e-05 1.363975275307893753e-02
2.200000000000000000e+04 1.339983737125294283e-05 1.571838765812572092e-05 1.334965229034423828e-02
2.300000000000000000e+04 1.321256968367379159e-05 1.549633816466666758e-05 1.334258168935775757e-02
2.400000000000000000e+04 1.287150735151953995e-05 1.518852513981983066e-05 1.308122370392084122e-02
2.500000000000000000e+04 1.254703329323092476e-05 1.485239954490680248e-05 1.289397384971380234e-02
2.600000000000000000e+04 1.213462383020669222e-05 1.442115717509295791e-05 1.267874240875244141e-02
2.700000000000000000e+04 1.158540817414177582e-05 1.382785922032780945e-05 1.239713933318853378e-02
2.800000000000000000e+04 1.125395010603824630e-05 1.344212978438008577e-05 1.246622484177350998e-02
2.900000000000000000e+04 1.015274847304681316e-05 1.217696080857422203e-05 1.167929731309413910e-02
3.000000000000000000e+04 9.642119948694016784e-06 1.145599890151061118e-05 1.164900511503219604e-02
