# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.456344515085220337e-01 2.236274480819702148e-01 1.070969700813293457e+00
1.000000000000000000e+03 3.515086602419614792e-03 3.555116709321737289e-03 2.082680165767669678e-01
2.000000000000000000e+03 1.788247842341661453e-03 1.821852521970868111e-03 1.440652459859848022e-01
3.000000000000000000e+03 1.439095591194927692e-03 1.495898934081196785e-03 1.286210119724273682e-01
4.000000000000000000e+03 1.105693052522838116e-03 1.199019374325871468e-03 1.143830046057701111e-01
5.000000000000000000e+03 7.913879817351698875e-04 8.763372898101806641e-04 9.745141863822937012e-02
6.000000000000000000e+03 4.586655704770237207e-04 5.114641389809548855e-04 7.192359864711761475e-02
7.000000000000000000e+03 3.607360122259706259e-04 4.084337851963937283e-04 6.292288005352020264e-02
8.000000000000000000e+03 2.794477040879428387e-04 3.269855515100061893e-04 5.415437743067741394e-02
9.000000000000000000e+03 2.135799877578392625e-04 2.633646654430776834e-04 4.727191850543022156e-02
1.000000000000000000e+04 1.769044174579903483e-04 2.261759073007851839e-04 4.386265575885772705e-02
1.100000000000000000e+04 1.618537353351712227e-04 2.097381948260590434e-04 4.312768578529357910e-02
1.200000000000000000e+04 1.520502555649727583e-04 1.982946996577084064e-04 4.232459515333175659e-02
1.300000000000000000e+04 1.437453756807371974e-04 1.894718443509191275e-04 4.164697602391242981e-02
1.400000000000000000e+04 1.328493526671081781e-04 1.779144222382456064e-04 4.053620249032974243e-02
1.500000000000000000e+04 1.164905988844111562e-04 1.586628786753863096e-04 3.831643983721733093e-02
1.600000000000000000e+04 1.066680415533483028e-04 1.449747942388057709e-04 3.823721781373023987e-02
1.700000000000000000e+04 8.735406299820169806e-05 1.147592774941585958e-04 3.269359096884727478e-02
1.800000000000000000e+04 7.533166353823617101e-05 9.403829608345404267e-05 2.881999500095844269e-02
1.900000000000000000e+04 7.020510383881628513e-05 8.702337072463706136e-05 2.710284292697906494e-02
2.000000000000000000e+04 6.654083699686452746e-05 8.226026693591848016e-05 2.579463273286819458e-02
