# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.735809981822967529e-01 3.356536030769348145e-01 1.078215718269348145e+00
1.000000000000000000e+03 1.875401823781430721e-03 1.347818411886692047e-03 1.325439810752868652e-01
2.000000000000000000e+03 5.956920795142650604e-04 6.311057368293404579e-04 8.110707998275756836e-02
3.000000000000000000e+03 4.745943879242986441e-04 5.091911298222839832e-04 7.245078682899475098e-02
4.000000000000000000e+03 3.836510877590626478e-04 4.274059610906988382e-04 6.513978540897369385e-02
5.000000000000000000e+03 3.252214519307017326e-04 3.721972170751541853e-04 6.083966791629791260e-02
6.000000000000000000e+03 2.610531519167125225e-04 2.899576211348176003e-04 5.546875298023223877e-02
7.000000000000000000e+03 1.345114433206617832e-04 1.235781237483024597e-04 4.078093543648719788e-02
8.000000000000000000e+03 8.808327402221038938e-05 7.366490171989426017e-05 3.318998962640762329e-02
9.000000000000000000e+03 7.309214561246335506e-05 6.059214501874521375e-05 3.001456707715988159e-02
1.000000000000000000e+04 6.716844654874876142e-05 5.645273631671443582e-05 2.869471721351146698e-02
1.100000000000000000e+04 6.214666063897311687e-05 5.167677954887039959e-05 2.741252444684505463e-02
1.200000000000000000e+04 5.854301707586273551e-05 4.963850005879066885e-05 2.652405202388763428e-02
1.300000000000000000e+04 5.331068314262665808e-05 4.454753434401936829e-05 2.511343546211719513e-02
1.400000000000000000e+04 4.677204196923412383e-05 3.964185452787205577e-05 2.334564179182052612e-02
1.500000000000000000e+04 3.784630098380148411e-05 3.301225660834461451e-05 2.088906802237033844e-02
1.600000000000000000e+04 2.822003989422228187e-05 2.569990829215385020e-05 1.784848608076572418e-02
1.700000000000000000e+04 2.245030009362380952e-05 2.089944428007584065e-05 1.579425856471061707e-02
1.800000000000000000e+04 1.960880763363093138e-05 1.843332029238808900e-05 1.468945667147636414e-02
1.900000000000000000e+04 1.773419717210344970e-05 1.698278174444567412e-05 1.390428747981786728e-02
2.000000000000000000e+04 1.623289244889747351e-05 1.544048063806258142e-05 1.358399912714958191e-02
2.100000000000000000e+04 1.577126749907620251e-05 1.399379016220336780e-05 1.435985602438449860e-02
2.200000000000000000e+04 1.406348837917903438e-05 1.379981131321983412e-05 1.283842604607343674e-02
2.300000000000000000e+04 1.497009179729502648e-05 1.603190685273148119e-05 1.381753198802471161e-02
2.400000000000000000e+04 1.257799794984748587e-05 1.240100937138777226e-05 1.226445473730564117e-02
2.500000000000000000e+04 1.200288170366548002e-05 1.176348814624361694e-05 1.207474805414676666e-02
2.600000000000000000e+04 1.151897868112428114e-05 1.141984103014692664e-05 1.179535966366529465e-02
2.700000000000000000e+04 1.109235381591133773e-05 1.110126231651520357e-05 1.159051060676574707e-02
2.800000000000000000e+04 1.069581048795953393e-05 1.071353108272887766e-05 1.146514154970645905e-02
2.900000000000000000e+04 1.051499202731065452e-05 1.026686913974117488e-05 1.176833175122737885e-02
3.000000000000000000e+04 1.002121280180290341e-05 1.021855678118299693e-05 1.113976724445819855e-02
