# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.749332189559936523e-01 3.078438341617584229e-01 1.051174759864807129e+00
1.000000000000000000e+03 4.437343683093786240e-03 3.185773268342018127e-03 2.145459502935409546e-01
2.000000000000000000e+03 1.140534528531134129e-03 1.098783919587731361e-03 1.052511334419250488e-01
3.000000000000000000e+03 6.800280534662306309e-04 8.032667683437466621e-04 8.309558779001235962e-02
4.000000000000000000e+03 5.913000786677002907e-04 6.919819279573857784e-04 8.034799247980117798e-02
5.000000000000000000e+03 4.707211628556251526e-04 5.263327038846910000e-04 7.307624071836471558e-02
6.000000000000000000e+03 3.418828127905726433e-04 3.673267492558807135e-04 6.354782730340957642e-02
7.000000000000000000e+03 2.465099969413131475e-04 2.466738515067845583e-04 5.420823022723197937e-02
8.000000000000000000e+03 1.715625548968091607e-04 1.619512477191165090e-04 4.489249736070632935e-02
9.000000000000000000e+03 1.196349330712109804e-04 1.060723880073055625e-04 3.594926744699478149e-02
1.000000000000000000e+04 9.096957364818081260e-05 7.836129952920600772e-05 3.010391630232334137e-02
1.100000000000000000e+04 7.857773016439750791e-05 6.789768667658790946e-05 2.733244188129901886e-02
1.200000000000000000e+04 7.038531475700438023e-05 6.320722604868933558e-05 2.621029131114482880e-02
1.300000000000000000e+04 7.032246503513306379e-05 6.910321826580911875e-05 2.954524196684360504e-02
1.400000000000000000e+04 6.365636363625526428e-05 5.820541991852223873e-05 2.542867884039878845e-02
1.500000000000000000e+04 6.165631930343806744e-05 5.682669143425300717e-05 2.513520233333110809e-02
1.600000000000000000e+04 5.977037653792649508e-05 5.574588067247532308e-05 2.481931261718273163e-02
1.700000000000000000e+04 5.796250843559391797e-05 5.486685404321178794e-05 2.449385635554790497e-02
1.800000000000000000e+04 5.771346332039684057e-05 5.853173206560313702e-05 2.606247365474700928e-02
1.900000000000000000e+04 5.460208558361046016e-05 5.327478720573708415e-05 2.379997074604034424e-02
2.000000000000000000e+04 5.311857239576056600e-05 5.298087125993333757e-05 2.363787963986396790e-02
2.100000000000000000e+04 5.175410115043632686e-05 5.174274701857939363e-05 2.318672835826873779e-02
2.200000000000000000e+04 5.052191045251674950e-05 5.122793299960903823e-05 2.301308885216712952e-02
2.300000000000000000e+04 4.947130219079554081e-05 5.056151348981074989e-05 2.282449416816234589e-02
2.400000000000000000e+04 4.857350722886621952e-05 4.993277616449631751e-05 2.266159839928150177e-02
2.500000000000000000e+04 4.792128675035201013e-05 5.018310184823349118e-05 2.285762503743171692e-02
2.600000000000000000e+04 4.716528928838670254e-05 4.885845555691048503e-05 2.242043241858482361e-02
2.700000000000000000e+04 5.341314681572839618e-05 6.153595313662663102e-05 2.787988632917404175e-02
2.800000000000000000e+04 4.605448339134454727e-05 4.782729229191318154e-05 2.219718694686889648e-02
2.900000000000000000e+04 4.556138446787372231e-05 4.723619349533692002e-05 2.205871790647506714e-02
3.000000000000000000e+04 6.136336742201820016e-05 5.660600072587840259e-05 2.888168394565582275e-02
