# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.774549126625061035e-01 3.362406790256500244e-01 1.032843828201293945e+00
1.000000000000000000e+03 2.052080584689974785e-03 1.481476356275379658e-03 1.407632231712341309e-01
2.000000000000000000e+03 7.082680240273475647e-04 7.600305834785103798e-04 8.469169586896896362e-02
3.000000000000000000e+03 5.242811748757958412e-04 5.970552447251975536e-04 7.579234987497329712e-02
4.000000000000000000e+03 3.614166635088622570e-04 4.066257097292691469e-04 6.324622780084609985e-02
5.000000000000000000e+03 2.547026379033923149e-04 2.895921934396028519e-04 5.448030307888984680e-02
6.000000000000000000e+03 1.601793628651648760e-04 1.776035642251372337e-04 4.355549439787864685e-02
7.000000000000000000e+03 7.044153608148917556e-05 6.698305514873936772e-05 2.855219133198261261e-02
8.000000000000000000e+03 5.452529512695036829e-05 4.994738992536440492e-05 2.541905082762241364e-02
9.000000000000000000e+03 4.450054620974697173e-05 3.976415973738767207e-05 2.267456054687500000e-02
1.000000000000000000e+04 4.032680590171366930e-05 3.695076156873255968e-05 2.401390112936496735e-02
1.100000000000000000e+04 2.198768197558820248e-05 1.958322900463826954e-05 1.562120579183101654e-02
1.200000000000000000e+04 1.443990913685411215e-05 1.345961936749517918e-05 1.295431517064571381e-02
1.300000000000000000e+04 1.141627853940008208e-05 1.128389067162061110e-05 1.171586662530899048e-02
1.400000000000000000e+04 9.924389814841561019e-06 1.030130533763440326e-05 1.106128096580505371e-02
1.500000000000000000e+04 8.988456102088093758e-06 9.726369171403348446e-06 1.064605824649333954e-02
1.600000000000000000e+04 8.328288458869792521e-06 9.293959919887129217e-06 1.033936627209186554e-02
1.700000000000000000e+04 9.207787115883547813e-06 1.040521874529076740e-05 1.124258153140544891e-02
1.800000000000000000e+04 7.429950528603512794e-06 8.580590474593918771e-06 9.824004024267196655e-03
1.900000000000000000e+04 7.098783498804550618e-06 8.263466042990330607e-06 9.618747979402542114e-03
2.000000000000000000e+04 6.940169441804755479e-06 8.257513400167226791e-06 9.492192417383193970e-03
2.100000000000000000e+04 6.587725692952517420e-06 7.756927516311407089e-06 9.277875535190105438e-03
2.200000000000000000e+04 6.419900273613166064e-06 7.636941518285311759e-06 9.190915152430534363e-03
2.300000000000000000e+04 6.226309324119938537e-06 7.370320417976472527e-06 9.045775979757308960e-03
2.400000000000000000e+04 6.286558345891535282e-06 7.609024578414391726e-06 9.350131265819072723e-03
2.500000000000000000e+04 5.914861503697466105e-06 7.074202130752382800e-06 8.833258412778377533e-03
2.600000000000000000e+04 5.827949280501343310e-06 7.077252575982129201e-06 8.823559619486331940e-03
2.700000000000000000e+04 8.410145710513461381e-06 9.081399184651672840e-06 1.245794259011745453e-02
2.800000000000000000e+04 5.555714324145810679e-06 6.747252427885541692e-06 8.584709838032722473e-03
2.900000000000000000e+04 5.452070581668522209e-06 6.660807230218779296e-06 8.509711362421512604e-03
3.000000000000000000e+04 5.371997758629731834e-06 6.543224571942118928e-06 8.473943918943405151e-03
