# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.805029153823852539e-01 3.302541375160217285e-01 1.031684398651123047e+00
1.000000000000000000e+03 1.990353222936391830e-03 1.442558248527348042e-03 1.445506662130355835e-01
2.000000000000000000e+03 6.103847990743815899e-04 6.840642890892922878e-04 8.222059160470962524e-02
3.000000000000000000e+03 4.494099994190037251e-04 5.060242256149649620e-04 7.035719603300094604e-02
4.000000000000000000e+03 3.330463077872991562e-04 3.645280667115002871e-04 6.124613806605339050e-02
5.000000000000000000e+03 1.412304263794794679e-04 1.196730227093212306e-04 3.988146781921386719e-02
6.000000000000000000e+03 6.548215606017038226e-05 4.966663982486352324e-05 2.640029974281787872e-02
7.000000000000000000e+03 5.223300104262307286e-05 3.863019446725957096e-05 2.347484044730663300e-02
8.000000000000000000e+03 4.632823765859939158e-05 3.514965646900236607e-05 2.189984172582626343e-02
9.000000000000000000e+03 4.282532972865737975e-05 3.352165367687121034e-05 2.104808390140533447e-02
1.000000000000000000e+04 4.003443609690293670e-05 3.235987969674170017e-05 2.039801515638828278e-02
1.100000000000000000e+04 3.743066918104887009e-05 3.113866478088311851e-05 1.976207830011844635e-02
1.200000000000000000e+04 3.480449231574311852e-05 2.981353463837876916e-05 1.911295391619205475e-02
1.300000000000000000e+04 3.218348138034343719e-05 2.796309490804560483e-05 1.826553419232368469e-02
1.400000000000000000e+04 2.884924651880282909e-05 2.624530861794482917e-05 1.762088574469089508e-02
1.500000000000000000e+04 2.560918255767319351e-05 2.396063973719719797e-05 1.670185290277004242e-02
1.600000000000000000e+04 2.267614036099985242e-05 2.266997762490063906e-05 1.631540991365909576e-02
1.700000000000000000e+04 1.978704494831617922e-05 1.978437649086117744e-05 1.515612844377756119e-02
1.800000000000000000e+04 1.812157279346138239e-05 1.753213655319996178e-05 1.487181801348924637e-02
1.900000000000000000e+04 1.554440677864477038e-05 1.632715066079981625e-05 1.375128701329231262e-02
2.000000000000000000e+04 1.404248178005218506e-05 1.500341932114679366e-05 1.317527145147323608e-02
2.100000000000000000e+04 2.816335836541838944e-05 2.441463948343880475e-05 2.351996861398220062e-02
2.200000000000000000e+04 1.203680949402041733e-05 1.298454935749759898e-05 1.227633282542228699e-02
2.300000000000000000e+04 1.136044556915294379e-05 1.221468028234085068e-05 1.192746963351964951e-02
2.400000000000000000e+04 1.086491101887077093e-05 1.136800437961937860e-05 1.171578187495470047e-02
2.500000000000000000e+04 1.033330772770568728e-05 1.095435982279013842e-05 1.133097987622022629e-02
2.600000000000000000e+04 9.967995538318064064e-06 1.025245364871807396e-05 1.117653492838144302e-02
2.700000000000000000e+04 9.582280654285568744e-06 1.000809879769803956e-05 1.085438113659620285e-02
2.800000000000000000e+04 9.262644198315683752e-06 9.374891305924393237e-06 1.069016195833683014e-02
2.900000000000000000e+04 1.166105175798293203e-05 1.075594536814605817e-05 1.404816471040248871e-02
3.000000000000000000e+04 8.630023330624680966e-06 8.733032700547482818e-06 1.012445800006389618e-02
