# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.665655612945556641e-01 3.137913942337036133e-01 1.008316159248352051e+00
1.000000000000000000e+03 2.693931804969906807e-03 2.060805913060903549e-03 1.660607755184173584e-01
2.000000000000000000e+03 5.628713988699018955e-04 5.797178600914776325e-04 7.769703865051269531e-02
3.000000000000000000e+03 4.043209191877394915e-04 4.534447216428816319e-04 6.812109053134918213e-02
4.000000000000000000e+03 3.045323537662625313e-04 3.499728045426309109e-04 6.119356676936149597e-02
5.000000000000000000e+03 2.315439051017165184e-04 2.638603327795863152e-04 5.466917902231216431e-02
6.000000000000000000e+03 1.202719577122479677e-04 1.279135758522897959e-04 3.882405161857604980e-02
7.000000000000000000e+03 6.838311674073338509e-05 7.140842353692278266e-05 2.877634204924106598e-02
8.000000000000000000e+03 5.593186142505146563e-05 5.937548485235311091e-05 2.593049034476280212e-02
9.000000000000000000e+03 4.777305366587825119e-05 5.001579847885295749e-05 2.370407059788703918e-02
1.000000000000000000e+04 4.095385156688280404e-05 4.203929347568191588e-05 2.167417295277118683e-02
1.100000000000000000e+04 3.506586290313862264e-05 3.503266634652391076e-05 2.019470371305942535e-02
1.200000000000000000e+04 4.644365253625437617e-05 4.312066084821708500e-05 2.928673475980758667e-02
1.300000000000000000e+04 2.316844984306953847e-05 2.231171310995705426e-05 1.550233736634254456e-02
1.400000000000000000e+04 1.861752025433816016e-05 1.701029941614251584e-05 1.344229839742183685e-02
1.500000000000000000e+04 1.519007400929694995e-05 1.382646132697118446e-05 1.159344427287578583e-02
1.600000000000000000e+04 1.280477681575575843e-05 1.188262012874474749e-05 1.051080692559480667e-02
1.700000000000000000e+04 1.307702223130036145e-05 1.329646420344943181e-05 1.192519161850214005e-02
1.800000000000000000e+04 1.015237012325087562e-05 9.890483852359466255e-06 9.547224268317222595e-03
1.900000000000000000e+04 9.341630175185855478e-06 9.264142136089503765e-06 9.296946227550506592e-03
2.000000000000000000e+04 8.724694453121628612e-06 8.688311027071904391e-06 9.132727049291133881e-03
2.100000000000000000e+04 8.258742127509322017e-06 8.131266440614126623e-06 9.109434671700000763e-03
2.200000000000000000e+04 7.861895937821827829e-06 7.797269063303247094e-06 8.963347412645816803e-03
2.300000000000000000e+04 7.572342383355135098e-06 7.443095455528236926e-06 8.942104876041412354e-03
2.400000000000000000e+04 7.527329671574989334e-06 7.285459560080198571e-06 9.381862357258796692e-03
2.500000000000000000e+04 7.174283837230177596e-06 6.924869012436829507e-06 8.800647221505641937e-03
2.600000000000000000e+04 6.964837666600942612e-06 6.747416136931860819e-06 8.720912970602512360e-03
2.700000000000000000e+04 6.828963705629575998e-06 6.587563802895601839e-06 8.650579489767551422e-03
2.800000000000000000e+04 6.803921678510960191e-06 6.480025149357970804e-06 8.941589854657649994e-03
2.900000000000000000e+04 6.640069841523654759e-06 6.411602043954189867e-06 8.604275062680244446e-03
3.000000000000000000e+04 6.481045147666009143e-06 6.175237558636581525e-06 8.527684025466442108e-03
