# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.882487177848815918e-01 3.226087093353271484e-01 1.071688175201416016e+00
1.000000000000000000e+03 1.746101654134690762e-03 1.506163738667964935e-03 1.354812085628509521e-01
2.000000000000000000e+03 7.496950565837323666e-04 7.666701567359268665e-04 8.978990465402603149e-02
3.000000000000000000e+03 5.408069700933992863e-04 5.555397365242242813e-04 7.560505717992782593e-02
4.000000000000000000e+03 4.319930740166455507e-04 4.531439917627722025e-04 6.787803769111633301e-02
5.000000000000000000e+03 2.942806167993694544e-04 3.158616309519857168e-04 5.654316395521163940e-02
6.000000000000000000e+03 1.136716018663719296e-04 9.779672836884856224e-05 3.469136729836463928e-02
7.000000000000000000e+03 8.924772555474191904e-05 6.957960431464016438e-05 3.559360653162002563e-02
8.000000000000000000e+03 5.887191582587547600e-05 4.466645987122319639e-05 2.477728761732578278e-02
9.000000000000000000e+03 5.350427454686723650e-05 4.088101195520721376e-05 2.383227646350860596e-02
1.000000000000000000e+04 4.944467582390643656e-05 3.765432120417244732e-05 2.336272038519382477e-02
1.100000000000000000e+04 4.550991070573218167e-05 3.500413731671869755e-05 2.216770686209201813e-02
1.200000000000000000e+04 4.239867121214047074e-05 3.268989894422702491e-05 2.143114805221557617e-02
1.300000000000000000e+04 3.943291812902316451e-05 3.035050576727371663e-05 2.065559662878513336e-02
1.400000000000000000e+04 3.621703217504546046e-05 2.801141636155080050e-05 1.980097219347953796e-02
1.500000000000000000e+04 3.173674485879018903e-05 2.463926284690387547e-05 1.841951161623001099e-02
1.600000000000000000e+04 2.486464109097141773e-05 1.985721610253676772e-05 1.588320918381214142e-02
1.700000000000000000e+04 1.910158425744157284e-05 1.590270767337642610e-05 1.343000773340463638e-02
1.800000000000000000e+04 1.620235707378014922e-05 1.383024118695175275e-05 1.216669194400310516e-02
1.900000000000000000e+04 1.443948713131248951e-05 1.185496057587442920e-05 1.121663674712181091e-02
2.000000000000000000e+04 1.272379813599400222e-05 1.061000511981546879e-05 1.058406475931406021e-02
2.100000000000000000e+04 1.088143471861258149e-05 9.687696547189261764e-06 9.946483187377452850e-03
2.200000000000000000e+04 9.445542673347517848e-06 9.086813406611327082e-06 1.005710102617740631e-02
2.300000000000000000e+04 1.244580016646068543e-05 1.102284841181244701e-05 1.409738697111606598e-02
2.400000000000000000e+04 8.354521924047730863e-06 9.657590453571174294e-06 1.193939335644245148e-02
2.500000000000000000e+04 6.485045105364406481e-06 7.162414476624689996e-06 9.194481186568737030e-03
2.600000000000000000e+04 6.174144800752401352e-06 6.823304374847793952e-06 9.008385241031646729e-03
2.700000000000000000e+04 5.942453753959853202e-06 6.528511676151538268e-06 8.841415867209434509e-03
2.800000000000000000e+04 5.753844561695586890e-06 6.241456503630615771e-06 8.675213903188705444e-03
2.900000000000000000e+04 5.596079063252545893e-06 6.093915999372256920e-06 8.582497015595436096e-03
3.000000000000000000e+04 7.822796760592609644e-06 7.813074262230657041e-06 1.147151086479425430e-02
