# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.035094380378723145e+00 1.037640690803527832e+00 1.002400517463684082e+00
5.000000000000000000e+01 5.345892859622836113e-04 5.879437667317688465e-04 2.137895114719867706e-02
1.000000000000000000e+02 4.349843366071581841e-04 4.039311315864324570e-04 1.713468693196773529e-02
1.500000000000000000e+02 3.640676732175052166e-04 3.604127850849181414e-04 1.614924706518650055e-02
2.000000000000000000e+02 3.046602942049503326e-04 3.209428396075963974e-04 1.518674381077289581e-02
2.500000000000000000e+02 2.868484298232942820e-04 2.891479234676808119e-04 1.427628938108682632e-02
3.000000000000000000e+02 2.479308168403804302e-04 2.631806710269302130e-04 1.359982229769229889e-02
3.500000000000000000e+02 2.531350764911621809e-04 2.431404136586934328e-04 1.299084443598985672e-02
4.000000000000000000e+02 2.593243843875825405e-04 2.268294047098606825e-04 1.244676392525434494e-02
4.500000000000000000e+02 2.486579178366810083e-04 2.150885557057335973e-04 1.204025279730558395e-02
5.000000000000000000e+02 2.348415873711928725e-04 2.040875842794775963e-04 1.168720331043004990e-02
5.500000000000000000e+02 1.994261838262900710e-04 1.937077759066596627e-04 1.128298323601484299e-02
6.000000000000000000e+02 1.703412417555227876e-04 1.894099113997071981e-04 1.100127492100000381e-02
6.500000000000000000e+02 1.759602164383977652e-04 1.795365678844973445e-04 1.085563842207193375e-02
7.000000000000000000e+02 2.095019881380721927e-04 1.742562017170712352e-04 1.056619267910718918e-02
7.500000000000000000e+02 1.398792373947799206e-04 1.690311910351738334e-04 1.035447325557470322e-02
8.000000000000000000e+02 1.649514597374945879e-04 1.655610103625804186e-04 1.021868828684091568e-02
8.500000000000000000e+02 1.570066378917545080e-04 1.670830824878066778e-04 1.039162557572126389e-02
9.000000000000000000e+02 1.762082392815500498e-04 1.636388478800654411e-04 1.012394204735755920e-02
9.500000000000000000e+02 1.405822695232927799e-04 1.573406043462455273e-04 9.879895485937595367e-03
1.000000000000000000e+03 1.437920145690441132e-04 1.554864575155079365e-04 9.756235405802726746e-03
1.050000000000000000e+03 1.638260291656479239e-04 1.548395521240308881e-04 9.842709638178348541e-03
1.100000000000000000e+03 1.729536452330648899e-04 1.543976250104606152e-04 9.965790435671806335e-03
1.150000000000000000e+03 1.595788053236901760e-04 1.551631576148793101e-04 9.779933840036392212e-03
1.200000000000000000e+03 1.531277084723114967e-04 1.521575613878667355e-04 9.647379629313945770e-03
1.250000000000000000e+03 1.529830624349415302e-04 1.512892486061900854e-04 9.540648199617862701e-03
1.300000000000000000e+03 1.953283353941515088e-04 1.456601603422313929e-04 9.415860287845134735e-03
1.350000000000000000e+03 1.424762449460104108e-04 1.470505376346409321e-04 9.695613756775856018e-03
1.400000000000000000e+03 1.520343357697129250e-04 1.557146024424582720e-04 1.028420496731996536e-02
1.450000000000000000e+03 1.488537964178249240e-04 1.414425933035090566e-04 9.175990708172321320e-03
1.500000000000000000e+03 1.292519882554188371e-04 1.418510364601388574e-04 9.267292916774749756e-03
1.550000000000000000e+03 1.529182482045143843e-04 1.513612951384857297e-04 1.005113963037729263e-02
1.600000000000000000e+03 1.648937904974445701e-04 1.604538410902023315e-04 1.030643284320831299e-02
1.650000000000000000e+03 1.403512142132967710e-04 1.482700754422694445e-04 1.002219971269369125e-02
1.700000000000000000e+03 1.461633364669978619e-04 1.402201305609196424e-04 9.253961965441703796e-03
1.750000000000000000e+03 1.386215735692530870e-04 1.380153989885002375e-04 9.072849527001380920e-03
1.800000000000000000e+03 1.502897357568144798e-04 1.363040646538138390e-04 9.052436798810958862e-03
1.850000000000000000e+03 1.527258864371106029e-04 1.370509125990793109e-04 9.110099636018276215e-03
1.900000000000000000e+03 1.405800576321780682e-04 1.313084067078307271e-04 8.880544453859329224e-03
1.950000000000000000e+03 1.629313483135774732e-04 1.547319698147475719e-04 1.004031114280223846e-02
2.000000000000000000e+03 1.464189554098993540e-04 1.378422894049435854e-04 9.229601360857486725e-03
2.050000000000000000e+03 1.385461218887940049e-04 1.294946850975975394e-04 8.762556128203868866e-03
2.100000000000000000e+03 1.391376717947423458e-04 1.289367937715724111e-04 8.744272403419017792e-03
2.150000000000000000e+03 1.368807716062292457e-04 1.335694396402686834e-04 9.253614582121372223e-03
2.200000000000000000e+03 1.228224282385781407e-04 1.306804333580657840e-04 9.098509326577186584e-03
2.250000000000000000e+03 1.465236273361369967e-04 1.281521545024588704e-04 8.871912024915218353e-03
2.300000000000000000e+03 1.304318575421348214e-04 1.267369079869240522e-04 8.722302503883838654e-03
2.350000000000000000e+03 1.648975594434887171e-04 1.695293176453560591e-04 1.129968930035829544e-02
2.400000000000000000e+03 1.528924040030688047e-04 1.396723382640630007e-04 9.305573068559169769e-03
2.450000000000000000e+03 1.209593538078479469e-04 1.459333579987287521e-04 9.686378762125968933e-03
2.500000000000000000e+03 1.484469685237854719e-04 1.249531342182308435e-04 8.661752566695213318e-03
2.550000000000000000e+03 1.261218567378818989e-04 1.262514997506514192e-04 8.758866228163242340e-03
2.600000000000000000e+03 1.795140269678086042e-04 1.613749482203274965e-04 1.103215478360652924e-02
2.650000000000000000e+03 1.310323423240333796e-04 1.242212747456505895e-04 8.716513402760028839e-03
2.700000000000000000e+03 1.421405759174376726e-04 1.446382957510650158e-04 9.871401824057102203e-03
2.750000000000000000e+03 1.410472323186695576e-04 1.282345328945666552e-04 9.123848751187324524e-03
2.800000000000000000e+03 1.579047675477340817e-04 1.296864938922226429e-04 8.948330767452716827e-03
2.850000000000000000e+03 1.198322570417076349e-04 1.232297363458201289e-04 8.774476125836372375e-03
2.900000000000000000e+03 1.094248727895319462e-04 1.212578572449274361e-04 8.427287451922893524e-03
2.950000000000000000e+03 1.262787409359589219e-04 1.205645530717447400e-04 8.448167704045772552e-03
