# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.667610585689544678e-01 3.616659045219421387e-01 8.191015124320983887e-01
1.000000000000000000e+03 5.047529190778732300e-02 5.009547248482704163e-02 3.217877447605133057e-01
2.000000000000000000e+03 5.006434395909309387e-02 4.888935759663581848e-02 3.177957534790039062e-01
3.000000000000000000e+03 4.538334906101226807e-02 4.779931902885437012e-02 3.144481480121612549e-01
4.000000000000000000e+03 4.660449922084808350e-02 4.691167920827865601e-02 3.117548227310180664e-01
5.000000000000000000e+03 4.544257000088691711e-02 4.643283039331436157e-02 3.101642131805419922e-01
6.000000000000000000e+03 4.388363659381866455e-02 4.595718160271644592e-02 3.089022040367126465e-01
7.000000000000000000e+03 4.406847059726715088e-02 4.533285647630691528e-02 3.066157102584838867e-01
8.000000000000000000e+03 4.172617942094802856e-02 4.503090679645538330e-02 3.055444955825805664e-01
9.000000000000000000e+03 4.270536452531814575e-02 4.517562314867973328e-02 3.059818148612976074e-01
1.000000000000000000e+04 4.273214191198348999e-02 4.476399719715118408e-02 3.046098649501800537e-01
1.100000000000000000e+04 4.176759347319602966e-02 4.493604600429534912e-02 3.051033616065979004e-01
1.200000000000000000e+04 4.149203747510910034e-02 4.426426813006401062e-02 3.029611110687255859e-01
1.300000000000000000e+04 4.130551218986511230e-02 4.434935376048088074e-02 3.031874597072601318e-01
1.400000000000000000e+04 4.120285063982009888e-02 4.465918615460395813e-02 3.041744530200958252e-01
1.500000000000000000e+04 4.152588546276092529e-02 4.418940469622612000e-02 3.025963902473449707e-01
1.600000000000000000e+04 4.167600721120834351e-02 4.401694610714912415e-02 3.021442294120788574e-01
1.700000000000000000e+04 4.156557098031044006e-02 4.401288181543350220e-02 3.021273016929626465e-01
1.800000000000000000e+04 4.069805517792701721e-02 4.418009892106056213e-02 3.026068210601806641e-01
1.900000000000000000e+04 4.110587015748023987e-02 4.395960643887519836e-02 3.019376993179321289e-01
2.000000000000000000e+04 4.141632094979286194e-02 4.400712996721267700e-02 3.019835054874420166e-01
2.100000000000000000e+04 4.121230915188789368e-02 4.431042447686195374e-02 3.029564917087554932e-01
2.200000000000000000e+04 4.167196154594421387e-02 4.461456462740898132e-02 3.039565384387969971e-01
2.300000000000000000e+04 4.111468419432640076e-02 4.424651712179183960e-02 3.027681112289428711e-01
2.400000000000000000e+04 4.183037579059600830e-02 4.378005862236022949e-02 3.013047277927398682e-01
2.500000000000000000e+04 4.022319242358207703e-02 4.400224611163139343e-02 3.018940687179565430e-01
