# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.200196623802185059e+00 1.169856548309326172e+00 1.172930836677551270e+00
2.500000000000000000e+02 1.811219193041324615e-02 1.845654100179672241e-02 1.264581084251403809e-01
5.000000000000000000e+02 1.731931790709495544e-02 1.826565153896808624e-02 1.258334368467330933e-01
7.500000000000000000e+02 1.816928014159202576e-02 1.820725202560424805e-02 1.253713369369506836e-01
1.000000000000000000e+03 1.878720894455909729e-02 1.819096505641937256e-02 1.251199543476104736e-01
1.250000000000000000e+03 1.814272999763488770e-02 1.813863590359687805e-02 1.250901669263839722e-01
1.500000000000000000e+03 1.862513460218906403e-02 1.810329221189022064e-02 1.249295398592948914e-01
1.750000000000000000e+03 2.014674618840217590e-02 1.807623170316219330e-02 1.254988610744476318e-01
2.000000000000000000e+03 1.871326565742492676e-02 1.803910359740257263e-02 1.252822130918502808e-01
2.250000000000000000e+03 1.728502847254276276e-02 1.799229346215724945e-02 1.245701387524604797e-01
2.500000000000000000e+03 1.857305876910686493e-02 1.801398396492004395e-02 1.250477582216262817e-01
