# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.979571461677551270e-01 9.015755057334899902e-01 1.016228675842285156e+00
1.000000000000000000e+03 1.935449428856372833e-02 1.867772638797760010e-02 1.292616873979568481e-01
2.000000000000000000e+03 1.856611110270023346e-02 1.790393702685832977e-02 1.248193681240081787e-01
3.000000000000000000e+03 1.829877868294715881e-02 1.758984662592411041e-02 1.230055391788482666e-01
4.000000000000000000e+03 1.811887323856353760e-02 1.747194677591323853e-02 1.226034015417098999e-01
5.000000000000000000e+03 1.776876859366893768e-02 1.718233898282051086e-02 1.210107430815696716e-01
6.000000000000000000e+03 1.749605685472488403e-02 1.697493344545364380e-02 1.200881004333496094e-01
7.000000000000000000e+03 1.722538284957408905e-02 1.676761545240879059e-02 1.192326173186302185e-01
8.000000000000000000e+03 1.693159714341163635e-02 1.659232936799526215e-02 1.185905039310455322e-01
9.000000000000000000e+03 1.669703237712383270e-02 1.649288833141326904e-02 1.200276538729667664e-01
1.000000000000000000e+04 1.625741273164749146e-02 1.617254875600337982e-02 1.171924248337745667e-01
1.100000000000000000e+04 1.595230959355831146e-02 1.597991958260536194e-02 1.169291734695434570e-01
1.200000000000000000e+04 1.642768830060958862e-02 1.656875759363174438e-02 1.227315366268157959e-01
1.300000000000000000e+04 1.538506429642438889e-02 1.570681855082511902e-02 1.167419999837875366e-01
1.400000000000000000e+04 1.489621866494417191e-02 1.550044026225805283e-02 1.149805262684822083e-01
1.500000000000000000e+04 1.457636989653110504e-02 1.540252752602100372e-02 1.146179214119911194e-01
1.600000000000000000e+04 1.426810678094625473e-02 1.527072768658399582e-02 1.141496598720550537e-01
1.700000000000000000e+04 1.408434007316827774e-02 1.524913776665925980e-02 1.158962249755859375e-01
1.800000000000000000e+04 1.374193001538515091e-02 1.504853647202253342e-02 1.134006604552268982e-01
1.900000000000000000e+04 1.354637462645769119e-02 1.500223670154809952e-02 1.132621765136718750e-01
2.000000000000000000e+04 1.323496643453836441e-02 1.479425560683012009e-02 1.125509515404701233e-01
